question,answer
"What is the punishment for Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman?",3 Months or Fine or Both (Section: IPC_140)
What is the punishment for Receiving property taken by war or depredation mentioned in sections 125 And 126?,7 Years + Fine + forfeiture of property (Section: IPC_127)
What is the punishment for Public servant voluntarily allowing prisoner of State or war in his custody to escape?,Imprisonment for Life or 10 Years + Fine (Section: IPC_128)
What is the punishment for Public servant negligently suffering prisoner of State or war in his custody to escape?,Simple Imprisonment 3 Years + Fine (Section: IPC_129)
"What is the punishment for Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner?",Imprisonment for Life or 10 Years + Fine (Section: IPC_130)
"What is the punishment for Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty?",Imprisonment for Life or 10 Years + Fine (Section: IPC_131)
"What is the punishment for Abetment of mutiny, if mutiny is committed in consequence thereof?",Death or Imprisonment for Life or 10 Years + Fine (Section: IPC_132)
"What is the punishment for Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office?",3 Years + Fine (Section: IPC_133)
"What is the punishment for Abetment of such assault, if the assault is committed?",7 Years + Fine (Section: IPC_134)
"What is the punishment for Abetment of the desertion of an officer, soldier, sailor or airman?",2 Years or Fine or Both (Section: IPC_135)
"What is the punishment for Harbouring such an officer, soldier, sailor or airman who has deserted?",2 Years or Fine or Both (Section: IPC_136)
"What is the punishment for Collecting arms, etc., with The intention of waging War against the Government of India?",Imprisonment for Life or 10 Years + Fine (Section: IPC_122)
"What is the punishment for Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof?",Fine (Section: IPC_137)
"What is the punishment for Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence?",6 Months or Fine or Both (Section: IPC_138)
What is the punishment for Conspiring to commit certain offences against the State?,Imprisonment for Life or 10 Years + Fine (Section: IPC_121A)
"What is the punishment for Collecting arms, etc., with The intention of waging War against the Government of India?",Imprisonment for Life or 10 Years + Fine (Section: IPC_122)
What is the punishment for Concealing with intent to facilitate a design to wage War?,10 Years + Fine (Section: IPC_123)
"What is the punishment for Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power?",7 Years + Fine (Section: IPC_124)
What is the punishment for Sedition?,Imprisonment for Life + Fine or 3 Years + Fine or Fine (Section: IPC_124A)
"What is the punishment for Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war?",Imprisonment for Life + Fine or 7 Years + Fine or Fine (Section: IPC_125)
What is the punishment for Committing depredation On the territories of any power in alliance or at peace with the Government of India?,7 Years + Fine + forfeiture of property (Section: IPC_126)
"What is the punishment for Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman?",3 Months or Fine or Both (Section: IPC_140)
"What is the punishment for Wantonly giving provocation with intent to cause riot, If rioting be committed?",1 Year or Fine or Both (Section: IPC_153)
What is the punishment for Promoting enmity between classes?,3 Years or Fine or Both (Section: IPC_153A)
What is the punishment for Promoting enmity between classes?,3 Years or Fine or Both (Section: IPC_153AA)
"What is the punishment for Imputations, assertions prejudicial to national integration?",3 Years or Fine or Both (Section: IPC_153B)
"What is the punishment for Owner or occupier of land non giving information of riot, etc.?",Fine (Section: IPC_154)
What is the punishment for Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it?,Fine (Section: IPC_155)
What is the punishment for Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it?,Fine (Section: IPC_156)
What is the punishment for Harbouring persons hired for an unlawful assembly?,6 Months or Fine or Both (Section: IPC_157)
What is the punishment for Being hired to take part in an unlawful assembly or riot?,6 Months or Fine or Both (Section: IPC_158)
What is the punishment for Engaging in a public fight and disturbing peace is committing an affray with two or more individuals.?,1 Month or Fine or Both (Section: IPC_159)
"What is the punishment for Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse?",2 Years or Fine or Both (Section: IPC_145)
What is the punishment for Committing affray?,1 Month or Fine or Both (Section: IPC_160)
"What is the punishment for Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act?",3 Years or Fine or Both (Section: IPC_161)
"What is the punishment for Taking a gratification in order, by corrupt or illegal means, to influence a public servant?",3 Years or Fine or Both (Section: IPC_162)
What is the punishment for Taking a gratification for the exercise of personal influence with a public servant?,Simple Imprisonment for 1 Year or Fine or Both (Section: IPC_163)
What is the punishment for Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself?,3 Years or Fine or Both (Section: IPC_164)
"What is the punishment for Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant?",3 Years or Fine or Both (Section: IPC_165)
What is the punishment for Punishment for abetment of offences punishable under section 161 or section 165?,3 Years or Fine or Both (Section: IPC_165A)
What is the punishment for Public servant disobeying a direction of the law with intent to cause injury to any person?,Simple Imprisonment for 1 Year or Fine or Both (Section: IPC_166)
What is the punishment for Public servant disobeying direction under law?,6 months to 2 years + Fine (Section: IPC_166A)
"What is the punishment for  anyone overseeing a hospital, whether public or private, and breaching the provisions of Section 357C of the Code of Criminal Procedure.?",1 Year or Fine or Both (Section: IPC_166B)
What is the punishment for Rioting?,2 Years or Fine or Both (Section: IPC_146)
What is the punishment for Public servant framing an incorrect document with intent to cause injury?,3 Years or Fine or Both (Section: IPC_167)
What is the punishment for Public servant unlawfully engaging in trade?,Simple Imprisonment for 1 Year or Fine or Both (Section: IPC_168)
What is the punishment for Public servant unlawfully buying or bidding for property?,"Simple Imprisonment for 2 Years or Fine or Both and confiscation of property, if purchased (Section: IPC_169)"
What is the punishment for Personating a Public servant?,2 Years or Fine or Both (Section: IPC_170)
What is the punishment for As described?,3 Months or Fine or Both (Section: IPC_171)
"What is the punishment for ""Candidate"", ""Electoral right"" defined?",nan (Section: IPC_171A)
What is the punishment for nan?,nan (Section: IPC_171B)
What is the punishment for nan?,nan (Section: IPC_171C)
What is the punishment for nan?,nan (Section: IPC_171D)
What is the punishment for Bribery?,"1 Year or Fine or Both, or if treating only, fine only (Section: IPC_171E)"
What is the punishment for Rioting?,2 Years or Fine or Both (Section: IPC_147)
What is the punishment for Undue influence at an election?,1 Year or Fine or Both (Section: IPC_171F)
What is the punishment for False statement in connection with an election?,Fine (Section: IPC_171G)
What is the punishment for Illegal payments in connection with elections?,Fine (Section: IPC_171H)
What is the punishment for Failure to keep election accounts?,Fine (Section: IPC_171I)
What is the punishment for Absconding to avoid service of summons or other proceeding from a public servant?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_172)
"What is the punishment for Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation?",Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_173)
"What is the punishment for Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority?",Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_174)
What is the punishment for Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code?,3 Years or Fine or Both (Section: IPC_174A)
What is the punishment for Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_175)
What is the punishment for Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_176)
What is the punishment for Rioting armed with deadly Weapon?,3 Years or Fine or Both (Section: IPC_148)
What is the punishment for Knowingly furnishing false information to a public servant?,6 Months or Fine or Both (Section: IPC_177)
What is the punishment for Refusing oath when duly required to take oath by a public servant?,Simple Imprisonment for 6 Months or Fine or Both (Section: IPC_178)
"What is the punishment for Being legally bound to state truth, and refusing to answer questions?",Simple Imprisonment for 6 Months or Fine or Both (Section: IPC_179)
What is the punishment for Refusing to sign statement made to a public servant when legally required to do so?,Simple Imprisonment for 3 Months or Fine or Both (Section: IPC_180)
"What is the punishment for Knowingly stating to a public servant, on oath as True that which is false?",3 Years + Fine (Section: IPC_181)
What is the punishment for Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person?,6 Months or Fine or Both (Section: IPC_182)
What is the punishment for Resistance to the taking of property by the lawful authority of a public servant?,6 Months or Fine or Both (Section: IPC_183)
What is the punishment for Obstructing sale of property offered for sale by authority of a public servant?,1 Month or Fine or Both (Section: IPC_184)
"What is the punishment for Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby?",1 Month or Fine or Both (Section: IPC_185)
What is the punishment for Obstructing public servant in discharge of his public functions?,3 Months or Fine or Both (Section: IPC_186)
"What is the punishment for If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence?",Same As Offence (Section: IPC_149)
What is the punishment for Omission to assist public servant when bound by law to give such assistance?,Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_187)
"What is the punishment for Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed?",Simple Imprisonment for 1 Month or Fine or Both (Section: IPC_188)
"What is the punishment for Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act?",2 Years or Fine or Both (Section: IPC_189)
What is the punishment for Threatening any person to induce him to refrain From making a legal application for protection From injury?,1 Year or Fine or Both (Section: IPC_190)
"What is the punishment for Hiring, engaging or employing persons to Take part in an unlawful assembly?",Same as a Member and for Offence by any Member (Section: IPC_150)
What is the punishment for Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse?,6 Months or Fine or Both (Section: IPC_151)
"What is the punishment for Assaulting or obstructing public servant when suppressing riot, etc.?",3 Years or Fine or Both (Section: IPC_152)
What is the punishment for Resistance or obstruction by a person to his lawful apprehension?,2 Years or Fine or Both (Section: IPC_224)
"What is the punishment for Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody?",2 Years or Fine or Both (Section: IPC_225)
"What is the punishment for Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance?",3 Years or Fine or Both (Section: IPC_225A)
"What is the punishment for Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for?",6 Months or Fine or Both (Section: IPC_225B)
